City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,north bend,47.4958,-121.7849,281.97,80,100,1.34,US,1681844552
1,mar del plata,-37.9977,-57.5483,291.43,44,0,6.17,AR,1681844456
2,winnemucca,40.9724,-117.7348,276.13,60,75,5.66,US,1681844553
3,isangel,-19.5411,169.2811,298.9,78,30,5.77,VU,1681844553
4,mareeba,-17.1295,143.9242,293.61,83,12,2.93,AU,1681844554
5,varkaus,62.3176,27.8681,277.71,87,100,2.61,FI,1681844554
6,sterling,41.7883,-89.6954,286.41,51,0,2.06,US,1681844555
7,springbok,-29.666,17.8825,294.02,27,2,0.47,ZA,1681844555
8,hithadhoo,1.7959,73.3876,301.68,71,55,0.45,MV,1681844556
9,codrington,51.5082,-2.3937,284.62,63,100,2.24,GB,1681844556
10,souillac,44.898,1.4694,283.87,76,18,0.46,FR,1681844557
11,tuktoyaktuk,69.444,-133.0319,254.15,84,75,4.63,CA,1681844557
12,rikitea,-23.123,-134.968,299.28,73,9,6.55,PF,1681844557
13,pontianak,-0.0227,109.3447,298.15,100,18,0.51,ID,1681844538
14,punta arenas,-53.1626,-70.9078,283.31,66,75,8.75,CL,1681844558
15,atuona,-9.8037,-139.0426,300.63,79,22,7.3,PF,1681844558
16,rovnoye,50.7759,46.0575,284.17,48,100,3.03,RU,1681844559
17,airai,-8.9266,125.4092,288.73,98,61,1.25,TL,1681844559
18,butaritari,2.9205,172.9189,300.99,76,74,4.49,KI,1681844559
19,glenwood springs,39.5507,-107.3255,291.66,37,0,7.2,US,1681844560
20,khandyga,62.6478,135.5751,266.33,98,100,0.29,RU,1681844560
21,saskylakh,71.965,114.0939,247.25,100,100,2.08,RU,1681844560
22,bethel,60.7922,-161.7558,259.0,83,5,3.58,US,1681844561
23,karamay,45.5778,84.8867,276.9,31,59,10.73,CN,1681844561
24,cidreira,-30.1657,-50.2183,296.32,47,39,1.41,BR,1681844561
25,busselton,-33.6445,115.3489,284.36,82,0,4.4,AU,1681844562
26,kampot,10.6183,104.1797,300.58,82,99,2.66,KH,1681844563
27,hilo,19.7074,-155.0816,301.59,86,99,4.47,US,1681844563
28,bluff,-46.5988,168.3434,284.78,83,100,4.77,NZ,1681844563
29,qaanaaq,77.4686,-69.2223,259.53,79,0,1.82,GL,1681844564
30,chumikan,54.7172,135.3173,270.0,97,100,2.1,RU,1681844564
31,terrace,54.5173,-128.5995,282.1,46,75,3.6,CA,1681844564
32,san carlos de bariloche,-41.1334,-71.3098,286.46,50,75,9.77,AR,1681844565
33,grafenhainichen,51.7309,12.4589,284.84,81,100,3.72,DE,1681844565
34,salamiyah,35.0117,37.0546,293.5,51,0,2.09,SY,1681844566
35,hermanus,-34.4175,19.2361,289.58,82,51,2.41,ZA,1681844566
36,dikson,73.5084,80.5124,256.19,100,100,2.84,RU,1681844566
37,half moon bay,52.3472,-114.1766,282.86,24,100,5.04,CA,1681844567
38,khatanga,71.9819,102.4715,247.55,100,98,1.02,RU,1681844567
39,arraial do cabo,-22.9663,-42.0244,299.14,89,75,2.57,BR,1681844567
40,zhanaozen,43.3381,52.8556,283.9,20,8,8.96,KZ,1681844568
41,port alfred,-33.5982,26.8915,290.4,95,0,3.93,ZA,1681844568
42,arak,34.0865,49.6888,286.6,36,15,0.88,IR,1681844568
43,stadskanaal,52.9962,7.0014,284.29,69,34,0.89,NL,1681844569
44,rodino,52.4961,80.2104,269.33,97,100,2.73,RU,1681844569
45,longyearbyen,78.22,15.65,273.21,93,100,3.6,SJ,1681844526
46,acatzingo,18.9222,-99.5868,299.29,23,10,3.9,MX,1681844570
47,bairiki,1.3296,172.9778,301.16,78,20,2.06,KI,1681844570
48,ushuaia,-54.8061,-68.3185,280.96,65,75,7.72,AR,1681844571
49,victoria,48.4283,-123.365,283.64,69,75,6.17,CA,1681844365
50,albany,42.6512,-73.755,283.83,66,100,4.12,US,1681844571
51,bredasdorp,-34.5331,20.0428,288.52,87,12,1.75,ZA,1681844572
52,severo-kurilsk,50.6683,156.1154,273.09,96,100,9.69,RU,1681844572
53,barentsburg,78.0654,14.2172,272.93,97,100,3.09,SJ,1681844572
54,escanaba,45.7456,-87.0647,279.55,49,100,7.2,US,1681844573
55,palabuhanratu,-6.9882,106.5504,298.8,88,89,1.83,ID,1681844573
56,itaituba,-4.2625,-55.9878,306.18,58,40,3.09,BR,1681844573
57,san cristobal,7.7757,-72.2214,299.08,71,86,0.69,VE,1681844574
58,talnakh,69.494,88.3908,252.37,86,28,0.48,RU,1681844574
59,alta floresta,-9.8699,-56.0835,309.1,56,75,1.54,BR,1681844574
60,sao joao da barra,-21.6349,-41.0487,304.21,70,12,2.55,BR,1681844575
61,ponta do sol,32.6811,-17.1041,293.93,69,73,2.54,PT,1681844575
62,mataura,-46.1927,168.8643,284.53,93,100,1.81,NZ,1681844575
63,hami,42.8174,93.5142,282.41,22,100,16.72,CN,1681844576
64,richards bay,-28.7708,32.0578,293.33,90,0,3.72,ZA,1681844576
65,amderma,69.7522,61.6623,262.74,93,71,6.45,RU,1681844576
66,surt,31.206,16.5836,290.04,64,1,3.48,LY,1681844577
67,lorengau,-2.033,147.2789,300.13,80,100,2.97,PG,1681844577
68,novikovo,51.1537,37.8879,281.72,60,99,3.69,RU,1681844578
69,nizhneyansk,71.4404,136.1306,252.01,100,100,3.38,RU,1681844578
70,batemans bay,-35.7072,150.1783,286.03,85,40,2.13,AU,1681844578
